의약품코드,제품명,제조사,효능,복용법,주의사항,보관법,
201307087,아드린정,해태에이치티비(주),이 약은 감기의 여러 증상(인후통/ 기침/ 가래/ 오한(춥고 떨리는 증상)/ 발열/ 두통/ 관절통/ 근육통)의 완화에 사용합니다.,만 15세 이상 및 성인은 1회 2정씩/ 1일 3회 식후 30분에 복용합니다.,이 약에 과민증 환자 및 경험자/ 다른 해열진통제/ 감기약 복용 시 천식 경험자/ 만 3개월 미만의 영아/ MAO억제제(항우울제/ 항정신병제/ 감정조절제/ 항파킨슨제 등)를 복용하고 있거나 복용을 중단한 후 2주 이내의 사람/ 갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 수두 또는 인플루엔자에 감염되어 있거나 또는 의심되는 영아 및 만 15세 미만의 어린이/ 만 3개월 이상 및 만 2세 미만의 영?유아/ 알레르기 등을 일으키기 쉬운 체질/ 알레르기 증상(예 : 발열/ 발진/ 관절통/ 천식/ 가려움증 등) 경험자/ 간장질환/ 신장질환/ 심장질환/ 갑상선질환/ 당뇨병/ 고혈압/ 부종/ 위십이지장궤양/ 고령자/ 몸이 약한 사람 또는 고열이 있는 사람/ 속쓰림/ 위부불쾌감/ 위통과 같은 위장문제가 지속 혹은 재발되거나 궤양/ 출혈문제를 가지고 있는 사람/ 임부 또는 임신하고 있을 가능성이 있는 여성/ 수유부/ 황색4호(타르트라진)에 과민증 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
198400661,아락실과립,부광약품(주),이 약은 변비와 변비에 수반하는 식욕부진(식욕감퇴)/ 복부(배부분)팽만/ 장내이상발효/ 치질의 완화에 사용합니다.,1회 4 g~8 g을 1일 1회(취침전) 또는 2회(취침전 및 아침) 복용하되/ 씹지말고 통상 아침에는 냉수/ 저녁에는 온수로 복용합니다.,이 약에 과민증 환자/?급성 복부질환(충수염/ 장출혈/ 궤양성 결장염 등)/ 장폐색(창자막힘)/ 위장관내의 협착증 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?심한 복통/ 구역/ 구토/?임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201706514,아락실소프트시럽(락툴로오즈농축액),부광약품(주),이 약은 만성변비/ 영·유아 및 소아의 변비/ 분만 후의 변비에 사용합니다.,만성변비에는 아침식사 전에 복용하며 성인은 처음 2~3일간 1일 15~30 mL를 아침식전에 복용하고/ 그 후 계속 1일 10~15 mL를 복용합니다. 심할 경우 45 mL까지 복용할 수 있습니다. 소아(7∼14세)는 처음 2~3일간 1일 15 mL를 복용하고 그 후 계속 1일 10 mL를 복용합니다. 유아(1~6세)는 1일 5~10 mL/ 영아(12개월 미만)는 1일 5 mL를 복용합니다.,이 약에 과민증 환자/?염증성 대장 질환(궤양성 대장염/ 크론병)/ 위장관 폐색/ 원인불명의 복통/ 저갈락토스 식이요법(갈락토스 혈증)/ 소화관 천공?또는 그 위험이 있는 환자/?갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부/?영·유아 및 소아/ 고령자/?당뇨병/ 과당불내성/ 체액 및 전해질 불균형/ 급성 위염/ 만성변비 환자는?의사 또는 약사와 상의하십시오.,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
200712401,아락실큐정,부광약품(주),이 약은 변비와 변비에 수반하는 식욕부진(식욕감퇴)/ 복부(배부분)팽만/ 장내이상발효/ 치질의 완화에 사용합니다.,15세 이상 및 성인은 1회 2정/ 1일 1회 취침시에 복용합니다.단/ 처음은 최소량을 이용하고/ 변의 모양과 상태를 보면서 조금씩 증량 또는 감량(줄임)하십시오.,급성 복부질환(충수염/ 장출혈/ 궤양성 결장염 등)/ 장폐색(창자막힘) 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?임부 또는 임신하고 있을 가능성이 있는 여성/ 나트륨 제한 식이를 하는 사람/ 심한 복통(배 아픔) 또는 구역/ 구토 환자/?직장의 출혈 혹은 장부전 경험자/ 만 10세 이하의 어린이는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.1주 정도 복용하여도 변비의 개선이 없을 경우 복용을 중지하고?의사 또는 약사와 상의하십시오.복용 시 정제를 씹지 마십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201405772,아로그린골드정,(주)마더스제약,이 약은 육체피로/ 임신ㆍ수유기/ 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시/ 노년기의 비타민 E/ B1/ B2/ B6/ C의 보급과 신경통/ 근육통/ 관절통(요통/ 어깨결림 등) 증상의 완화/ 각기ㆍ눈의 피로에 사용합니다.,성인은 1회 1정씩/ 1일 2회 복용합니다.,이 약에 과민증 환자/?만 3개월 미만의 젖먹이/?갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?임부 또는?임신하고 있을 가능성이 있는 여성 및 수유부/ 미숙아/ 유아/ 고옥살산뇨증(뇨중에 과량의 수산염이 배설되는 상태)/ 통풍/ 신장결석 환자/ 폴산이 부족한 환자/ 혈전성 소인이 있는 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.각종 요검사 시에 혈당의 검출을 방해할 수 있으며/ 요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
197000037,아로나민골드정,일동제약(주),이 약은 육체피로/ 임신ㆍ수유기/ 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시/ 노년기(간유/ 비타민 D/ E 함유시)의 비타민 B1/ B2/ B6/ E/ C의 보급과 신경통/ 근육통/ 관절통(요통/ 어깨결림 등) 증상의 완화/ 각기/ 눈의 피로에 사용합니다.,성인은 1회 1정씩/ 1일 2회 복용합니다.,이 약에 과민증 환자/?만 3개월 미만의 젖먹이/ 갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 고옥살산뇨증(요중에 과량의 수산염이 배설되는 상태)/ 임부 및 임신하고 있을 가능성이 있는 여성/ 수유부/ 미숙아/ 유아/ 통풍/ 신장결석/ 폴산이 부족한 환자/ 혈전성 소인이 있는 환자는?의사 또는 약사와 상의하십시오.요를 황색으로 변하게 하여 임상검사치에 영향을 주거나 요검사시에 혈당의 검출을 방해할 수 있습니다.정해진 용법과 용량을 잘 지키십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201500313,아로나민실버프리미엄정,일동제약(주),이 약은 육체피로/ 임신ㆍ수유기/ 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시/ 발육기/ 노년기의 비타민 A/ D/ E/ B1/ B2/ B6/ C의 보급과 신경통/ 근육통/ 관절통(요통/ 어깨결림 등) 증상의 완화/ 각기/ 눈의 피로/ 구각염(입꼬리염)/ 구순염(입술염)/ 구내염(입안염)/ 설염(혀염)/ 습진/ 피부염 증상의 완화/ 뼈/ 이의 발육불량/ 구루병의 예방에 사용합니다.,만 12세 이상 및 성인은 1회 1~2정씩/ 1일 1회 식후에 복용합니다.,고칼슘혈증/ 유육종증/ 신장질환/ 이 약에 과민증 환자/ 만 12개월 미만의 젖먹이/ 윌슨병/ 혈색소증/ 헤모시데린침착증/ 비철결핍성 빈혈/ 신장결석/ 심한 증상의 신부전/ 갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자/ 황색5호에 과민증 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 고옥살산뇨증/ 임부 및 임신하고 있을 가능성이 있는 여성/ 수유부/ 미숙아/ 유아/ 소화성궤양/ 만성궤양성대장염/ 국한성대장염 등의 위장질환/ 심장ㆍ순환기계기능 장애/ 신장장애/ 저단백혈증/ 강심배당체를 투여 중인 환자/ 담낭관련 질환/ 간질환/ 당뇨병/ 통풍/ 신장결석 환자 또는 그 경험자/ 폴산이 부족한 환자/ 혈전성 소인이 있는 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.이 약에 함유된 비타민A는 정상적인 식이에서 충분히 공급되므로 보조요법의 용량은 1일 5/000IU 이상을 넘지 않도록 하십시오.요를 황색으로 변하게 하여 임상검사치에 영향을 주거나 요검사시에 혈당의 검출을 방해할 수 있습니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201500972,아로나민씨플러스미니정,일동제약(주),이 약은 육체피로/ 임신ㆍ수유기/ 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시/ 노년기의 비타민 B1/ B2/ B6/ C/ E의 보급과 신경통/ 근육통/ 관절통(요통/ 어깨결림 등) 증상의 완화/ 각기/ 눈의 피로/?햇빛 ㆍ 피부병 등에 의한 색소침착(기미/ 주근깨)의 완화/ 잇몸출혈 ㆍ 비출혈(코피) 예방과 아연의 보급에 사용합니다.,만 12세 이상 어린이 및 성인은 1회 4정씩/ 1일 1회 또는 1회 2정씩 1일 2회 식후에 복용합니다.,이 약에 과민증 환자/ 만 12개월 미만의 젖먹이/ 혈색소증(철대사 이상으로 철이 간장/ 췌장(이자)에 침착하는 질환)/ 헤모시데린침착증/ 비철결핍성 빈혈/ 갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 고옥살산뇨증(요 중에 과량의 수산염이 배설되는 상태)/ 임부 또는 임신하고 있을 가능성이 있는 여성/ 수유부/ 미숙아/ 유아/ 소화성궤양/ 만성궤양성대장염/ 국한성대장염 등의 위장질환/ 심장·순환기계기능장애/ 신장장애/ 저단백혈증/ 통풍 또는 신장결석 경험자/ 폴산이 부족한 환자/ 혈전성 소인이 있는 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.각종 요검사 시에 혈당의 검출을 방해할 수 있으며/ 요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
200400325,아로나민씨플러스정,일동제약(주),이 약은 육체피로/ 임신ㆍ수유기/ 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시/ 노년기의 비타민 B1/ B2/ B6/ C/ E의 보급과 신경통/ 근육통/ 관절통(요통/ 어깨결림 등)/ 각기/ 눈의 피로/ 햇빛 ㆍ 피부병 등에 의한 색소침착(기미/ 주근깨)의 완화/ 잇몸출혈/ 코피?예방과 아연의 보급에 사용합니다.,만 12세 이상 어린이 및 성인은 1회 2정을 1일 1회 복용 또는 1회 1정씩 1일 2회 복용합니다.,이 약에 이 약에 과민증 환자/ 만 12개월 미만의 젖먹이/?혈색소증(철대사 이상으로 철이 간장/ 췌장(이자)에 침착하는 질환)/ 헤모시데린침착증/ 비철결핍성 빈혈/?갈락토오스 불내성/?Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 고옥살산뇨증(요중에 과량의 수산염이 배설되는 상태)/?혈전성 소인이 있는 환자/?폴산이 부족한 환자/ 임부 및 임신하고 있을 가능성이 있는 여성/ 수유부/ 미숙아/ 유아/ 소화성궤양/ 만성궤양성대장염/ 국한성대장염 등의 위장질환 환자/ 심장 ㆍ 순환기계기능 장애/ 신장장애/ 저단백혈증/ 통풍/ 신장결석/ 폴산이 부족한 환자는?의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.요를 황색으로 변하게 하여 임상검사치에 영향을 주거나 요검사시에 혈당의 검출을 방해할 수 있습니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
200500433,아로나민아이정,일동제약(주),이 약은 육체피로/ 임신ㆍ수유기/ 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시/ 노년기의 비타민 A/ B1/ B2/ B6/ C/ E의 보급과 눈의 건조감 완화/ 야맹증(밤에 잘 못 보는 증상)/ 말초 혈행 장애/ 갱년기시 어깨·목결림/ 수족저림/ 수족냉증(손발이 차가움) 증상의 완화/ 신경통/ 근육통/ 관절통(요(허리)통/ 어깨결림 등)/ 각기/ 눈의 피로 증상의 완화와 아연의 보급에 사용합니다.,만 12세 이상 및 성인은 1회 1~2정씩/ 1일 2회 복용합니다.,이 약에 과민증 환자/?만 12개월 미만의 젖먹이/ 윌슨병/ 갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에/ 고옥살산뇨증(요 중에 과량의 수산염이 배설되는 상태)/ 임부 또는 임신하고 있을 가능성이 있는 여성/ 수유부/ 미숙아/ 유아/ 소화성궤양/ 만성궤양성대장염/ 국한성대장염 등의 위장질환/ 심장·순환기계기능장애/ 신장장애/ 저단백혈증/ 담낭(쓸개)관련 질환/ 간질환/?통풍/ 신장결석/ 폴산이 부족한 환자/ 혈전성 소인이 있는 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.각종 요검사 시에 혈당의 검출을 방해할 수 있으며/ 요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201800353,아로나민이맥스플러스정,일동제약(주),이 약은 육체피로/ 임신ㆍ수유기/ 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시/ 노년기의 비타민 E/ B1/ B2/ B6의 보급과 말초혈행장애 및 갱년기시 어깨ㆍ목결림/ 수족저림ㆍ수족냉증(손발이 차가움) 증상의 완화/ 신경통/ 근육통/ 관절통(요(허리)통/ 어깨결림 등)/ 구각염(입꼬리염)/ 구순염(입술염)/ 구내염(입안염)/ 설염(혀염)/ 습진/ 피부염 증상의 완화/ 각기/ 눈의 피로에 사용합니다.,만 8세 이상 어린이?청소년 및 성인 1회 1정씩/ 1일 1~2회 또는 1~2정씩/ 1일 1회 복용합니다.,이 약에 과민증 환자/ 3개월 미만의 젖먹이는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 1세 미만의 젖먹이/ 임부/ 임신하고 있을 가능성이 있는 여성/ 수유부/ 미숙아/ 유아/ 폴산이 부족한 환자/ 혈전성 소인이 있는 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
200902026,아로나민이엑스정,일동제약(주),이 약은 육체피로/ 임신ㆍ수유기/ 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시/ 노년기의 비타민 B1/ B2/ B6/ E의 보급과 신경통/ 근육통/ 관절통(요통/ 어깨결림 등)/ 각기/ 눈의 피로 증상의 완화/ 구각염(입꼬리염)/ 구순염(입술염)/ 구내염(입안염)/ 설염(혀염)/ 습진/ 피부염 증상의 완화/ 말초혈행장애/ 갱년기시 어깨ㆍ목결림/ 수족저림ㆍ수족냉증(손발이 차가움) 증상의 완화에 사용합니다.,만 8세 이상 어린이 및 성인은 1회 2정씩/ 1일 1회 또는 1회 1정씩/ 1일 2회 복용합니다.,이 약에 과민증 환자/?만 3개월 미만의 젖먹이/?갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?만 1세 미만의 젖먹이/?임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부/ 미숙아/ 유아/ 황색5호에 과민증 환자 또는 경험자/ 폴산이 부족한 환자/ 혈전성 소인이 있는 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201904305,아로나민케어디엠정,일동제약(주),이 약은 육체피로/ 임신ㆍ수유기/ 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시/ 노년기의 비타민 E/ C의 보급에 사용합니다.,만 15세 이상 청소년 및 성인은 1회 1정씩/ 1일 1회 복용합니다.,이 약에 과민증 환자/?만 12개월 미만의 젖먹이/?심한 증상의 신부전 환자/?갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부/ 미숙아/ 유아/?고옥살산뇨증(뇨중에 과량의 수산염이 배설되는 상태)/?심장 / 순환기계기능 장애/ 신장장애/ 저단백혈증/ 통풍/ 신장결석/ 혈전성 소인이 있는 환자/ 폴산이 부족한 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.각종 요검사 시에 혈당의 검출을 방해할 수 있습니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201902001,아로나민케어리피정,일동제약(주),이 약은 육체피로/ 임신ㆍ수유기/ 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시/ 노년기의 비타민 B1/ E의 보급과 아연의 보급에 사용합니다.,성인은 1회 1정씩/ 1일 1회 복용합니다.,이 약에 과민증 환자/?만 12개월 미만의 젖먹이/?혈색소증(철대사 이상으로 철이 간장/ 췌장(이자)에 침착하는 질환)/ 헤모시데린침착증/ 비철결핍성 빈혈 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?임부 또는?임신하고 있을 가능성이 있는 여성 및 수유부/ 미숙아/ 유아/?소화성궤양/ 만성궤양성대장염/ 국한성대장염 등의 위장질환/ 심장ㆍ순환기계기능 장애/ 신장장애/ 저단백혈증/ 혈전성 소인이 있는 환자/ 폴산이 부족한 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201904226,아로나민케어에이치티정,일동제약(주),이 약은 육체피로/ 임신ㆍ수유기/ 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시/ 발육기/ 노년기의 비타민 D/ E/ B1의 보급과 아연의 보급에 사용합니다.,만 15세 이상 청소년 및 성인은 1회 1정씩/ 1일 1회 복용합니다.,이 약에 과민증 환자/?만 12개월 미만의 젖먹이/?고칼슘혈증(혈액중에 칼슘이 과잉으로 존재하는 상태)/ 유육종증(원인을 알 수 없는 전신 염증질환)/ 신장질환/ 고칼륨혈증/ 신장결석/ 심한 증상의 신부전/?갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?임부 또는?임신하고 있을 가능성이 있는 여성 및 수유부/ 미숙아/ 유아/?심장?순환기계기능 장애/ 신장장애/ 저단백혈증/ 알칼리증/?소화성궤양/ 폴산이 부족한 환자/?혈전성 소인이 있는 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201902077,아로나민케어콤플렉스정,일동제약(주),이 약은 육체피로/ 임신ㆍ수유기/ 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시/ 발육기/ 노년기의 비타민 B1/ D/ E의 보급과 아연의 보급에 사용합니다.,성인은 1회 1정씩/ 1일 1회 복용합니다.,이 약에 과민증 환자/ 만 12개월 미만의 젖먹이/?고칼슘혈증(혈액중에 칼슘이 과잉으로 존재하는 상태)/ 유육종증(원인을 알 수 없는 전신 염증질환)/ 신장질환/ 고칼륨혈증/?혈색소증(철대사 이상으로 철이 간장/ 췌장(이자)에 침착하는 질환)/ 헤모시데린침착증/ 비철결핍성 빈혈/ 신장결석/ 심한 증상의 신부전/?갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?임부 또는?임신하고 있을 가능성이 있는 여성 및?수유부/ 미숙아/ 유아/?소화성궤양/ 만성궤양성대장염/ 국한성대장염 등의 위장질환/ 심장?순환기계기능 장애/ 신장장애/ 저단백혈증/ 알칼리증/?혈전성 소인이 있는 환자/ 폴산이 부족한 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201404210,아로마솔크림,(주)팜젠사이언스,이 약은 알레르기 피부염/ 화장독/ 땀띠/ 가려움/ 접촉피부염(기저귀발진)/ 면도 자극/ 피부 거칠어짐 방지에 사용합니다.,1일 수회 적당량을 환부에 바르거나 가제 등에 묻혀서 붙입니다.,상처 또는 점막부위/ 세균ㆍ진균ㆍ바이러스ㆍ동물성 피부감염증 환자/ 화농/ 이 약에 과민증 환자/ 고막천공이 있는 습진성 외이도염/ 궤양/ 제2도 심재성 이상의 화상ㆍ동상/ 입주위피부염/ 보통여드름/ 주사에는 이 약을 사용하지 마십시오.이 약을 사용하기 전에 약이나 화장품에 등에 의한 알레르기 증상이 나타난 적이 있는 환자/ 알레르기 체질인 환자/ 환부가 광범위한 사람/ 임부 또는 임신하고 있을 가능성이 있는 부인 및 수유부/ 유ㆍ소아/ 프로필렌글리콜에 과민증인 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.5~6일간 투여 후에도 증상의 개선이 없을 경우 투여를 중지하고 의사 또는 약사와 상의하십시오.장기연용하지 마십시오.증상이 개선되면 가능한 빠른 시일 내에 사용을 중지하십시오.이 약은 외용으로만 사용하고 내복하지 마십시오.눈에 들어가지 않도록 주의하고 만일 눈에 들어간 경우 즉시 물로 씻어내십시오.화장이나 면도 후 치료 이외의 목적으로 사용하지 마십시오.의사의 감독 없이 밀봉붕대법을 사용하지 마십시오.?기저귀 등은 밀봉붕대법과 같은 작용을 나타낼 수 있으므로 주의하십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
200903224,아로마에프캡슐,태극제약(주),이 약은 치주치료 후 치은염/ 경·중등도 치주염의 보조치료에 사용합니다.,성인은 1회 1캡슐/ 1일 3회 식후에 복용합니다.,15세 미만 소아는 이 약을 복용하지 마십시오.이 약에 과민증 환자/ 화장품 또는 달걀에 과민증(발열/ 발진/ 관절통/ 천식/ 가려움 등) 경험자/ 알레르기 체질인 사람/ 황색5호에 과민증 환자는?의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
200801021,아로민필름코팅정,일동제약(주),이 약은 육체피로/ 임신ㆍ수유기/ 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시 비타민 B1/ B2/ B6 의 보급과 신경통/ 근육통/ 관절통(요통/ 어깨결림 등)/ 각기/ 눈의 피로/ 구각염(입꼬리염)/ 구순염(입술염)/ 구내염(입안염)/ 설염(혀염)/ 습진/ 피부염 증상의 완화에 사용합니다.,성인은 1회 2정씩/ 1일 1회 또는 1회 1정씩/ 1일 2회 복용합니다.,이 약에 과민증 환자/ 만 3개월 미만의 젖먹이/ 갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?황색5호 과민증 환자/ 폴산이 부족한 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.각종 요검사 시에 요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
199302027,아록솔정(암브록솔염산염),(주)비씨월드제약,이 약은 점액분비장애로 인한 급·만성기관지염/ 천식성기관지염에 사용합니다.,성인은 1회 1정(30 mg)씩 1일 3회 식사와 관계없이 복용합니다.계속 치료시 1회 1정(30 mg)씩 1일 2회 복용합니다.,이 약에 과민증 환자/?심한 신장애/?심한 간장애/?갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?신장애/?소화성궤양/ 임부/ 수유부/ 고령자는?의사 또는 약사와 상의하십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
198900711,아론정(독시라민숙신산염),알리코제약(주),이 약은 불면증의 보조치료 및 진정에 사용합니다.,성인은 1일 1회 1정(25 mg)을 반드시 수면 30분 전에 복용합니다.연령과 증상에 따라 적절히 증강할 수 있습니다.,폐기종/ 만성 기관지염 천식 등의 호흡장애/ 녹내장/ 전립선(전립샘) 비대 환자/ 수유부/ 15세 이하의 소아/ 갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는?이 약을 복용하지 마십시오.이 약을 복용하기 전에?임부 및 임신을 하고 있을 가능성이 있는 사람은?의사 또는 약사와 상의하십시오.복용 후 과도한 진정이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.의사 또는 약사와 상의 없이?2주 이상 투여하지 마십시오.,빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
