"기관ID","주소","비고","간이약도","기관명","대표전화1","진료시간(월요일)C","진료시간(화요일)C","진료시간(수요일)C","진료시간(목요일)C","진료시간(금요일)C","진료시간(토요일)C","진료시간(일요일)C","진료시간(공휴일)C","진료시간(월요일)S","진료시간(화요일)S","진료시간(수요일)S","진료시간(목요일)S","진료시간(금요일)S","진료시간(토요일)S","진료시간(일요일)S","진료시간(공휴일)S","우편번호1","우편번호2","병원경도","병원위도","작업일시"
"C1101198","서울특별시 동대문구 무학로34길 11 (용두동)","2014.02 개업","까치산역1번출구에서 화곡터널입구사거리 우측50M","연수당약국","02-926-8152","2000","2000","2000","2000","2000","2000","1400","1900","0900","0900","0900","0900","0900","0900","0900","0900","025","84","127.03136918737485","37.57650585715619","2021-08-20 17:21:54.0"
"C1104359","서울특별시 노원구 상계로 65 (상계동)","2014.02 개업","노원역 9번 출구","연수약국","02-938-0080","1830","1830","1830","1830","1830","1400","1400","1900","0900","0900","0900","0900","0900","0900","0900","0900","016","93","127.06224789120318","37.656355407036685","2021-08-20 17:21:54.0"
"C1103664","서울특별시 노원구 동일로197길 11 공삼빌딩 102호 (공릉동)","2014.02 개업","공삼빌딩 102호","연수온누리약국","02-948-5855","2000","2000","2000","2000","2000","1600","1400","1900","0900","0900","0900","0900","0900","0900","0900","0900","018","52","127.07063940948225","37.62849945687743","2021-08-20 17:21:54.0"
"C1101201","서울특별시 은평구 연서로 246  (불광동)","2014.02 개업","타워크리닉 104호","연신내메디칼약국","02-355-6543","2100","2100","2100","2100","2100","1900","1400","1900","0830","0830","0830","0830","0830","0830","0900","0900","033","50","126.92260952124751","37.61905596426234","2021-08-20 17:21:54.0"
"C1102586","서울특별시 은평구 연서로 246 (불광동 타워클리닉)","2014.02 개업","타워크리닉 104호","연신내영재약국","02-382-8123","2000","2000","2000","2000","2000","1600","1400","1900","0830","0830","0830","0830","0830","0830","0900","0900","033","50","126.92253714930947","37.619047424517404","2021-08-20 17:21:54.0"
"C1101061","서울특별시 은평구 통일로 839 (대조동)","2014.02 개업","대조동185-6","연신우리약국","02-382-6229","2100","2100","2100","2100","2100","1700","1400","1900","0830","0830","0830","0830","0830","0830","0900","0900","033","85","126.92165905887717","37.61812551311788","2021-08-20 17:21:54.0"
"C1108927","서울특별시 은평구 연서로32길 3 (불광동 남재빌딩)","2014.02 개업","대조동185-6","연신종로약국","02-359-4341","2130","2130","2130","2130","2130","2100","2100","2100","0900","0900","0900","0900","0900","0900","0900","0900","033","49","126.924955472936","37.6203628994073","2021-08-20 17:21:54.0"
"C1107701","서울특별시 강남구 영동대로 416 케이티앤지 타워 지하1층 (대치동)","2014.02 개업","대조동185-6","연약국","02-554-8199","1300","1300","1300","1300","1300","2100","2100","2100","0900","0900","0900","0900","0900","0900","0900","0900","061","76","127.0653262974","37.5065833931","2021-08-20 17:21:54.0"
"C1100079","서울특별시 광진구 아차산로 241","2014.02 개업","연한빌딩 403호","연약국","02-466-1288","2100","2100","2100","2100","2100","1800","2100","2100","0900","0900","0900","0900","0900","0900","0900","0900","050","17","127.07014925774979","37.54050718497672","2021-08-20 17:21:54.0"
"C1104418","서울특별시 성북구 동소문로 12 지층 (동소문동2가)","2014.02 개업","한성대입구역 1번 출구","연약국","02-3675-5778","1900","1900","1900","1900","1900","1500","2100","2100","0900","0900","0900","0900","0900","0900","0900","0900","028","60","127.00758147207315","37.58883717805999","2021-08-20 17:21:54.0"
"C1108437","서울특별시 강북구 한천로105길 7 1층 101호 (번동)","2014.02 개업","한성대입구역 1번 출구","연주약국","02-989-8315","1800","1900","1900","1900","1900","1500","2100","2100","0900","0900","0900","0900","0900","0900","0900","0900","012","30","127.04714734651044","37.62617582644209","2021-08-20 17:21:54.0"
"C1101101","서울특별시 광진구 아차산로29길 12","2014.02 개업","건대입구역 1번출구","연진약국","02-462-3355","2330","2330","2330","2330","2330","2330","2100","2100","1200","1200","1200","1200","1200","1200","0900","0900","050","18","127.068448306441","37.541427173504815","2021-08-20 17:21:54.0"
"C1101102","서울특별시 중구 퇴계로 120  (남산동1가)","2014.02 개업","건대입구역 1번출구","연합약국","02-778-3465","2230","2230","2230","2230","2230","2000","2100","1900","0800","0800","0800","0800","0800","0800","0900","0800","046","31","126.9850782014","37.5605776809","2021-08-20 17:21:54.0"
"C1104481","서울특별시 서대문구 성산로 317 1층 (연희동)","2014.02 개업","건대입구역 1번출구","연희약국","02-335-6242","1830","1830","1830","1830","1830","1400","2100","1900","0900","0900","0900","0900","0900","0900","0900","0800","037","06","126.92548466381842","37.5665701558435","2021-08-20 17:21:54.0"
"C1103755","서울특별시 용산구 한강대로 297 2층 (갈월동)","2014.02 개업","숙대입구역9번출구국민은행2층","연희온누리약국","02-3273-7778","1800","1800","1800","1800","1800","1300","2100","1900","0900","0900","0900","0900","0900","0900","0900","0800","043","21","126.971671099934","37.54474716733994","2021-08-20 17:21:54.0"
"C1104040","서울특별시 서대문구 성산로 521 (대신동)","2014.02 개업","숙대입구역9번출구국민은행2층","연희위드팜약국","02-312-6949","2000","2000","2000","2000","2000","1400","2100","1900","0830","0830","0830","0830","0830","0900","0900","0800","037","21","126.94367989035283","37.56330803003625","2021-08-20 17:21:54.0"
"C1104554","서울특별시 서대문구 연희로 109 (연희동)","2014.02 개업","숙대입구역9번출구국민은행2층","연희종로약국","02-3141-4040","2030","2030","2030","2030","2030","1930","2100","1900","0830","0830","0830","0830","0830","0830","0900","0800","037","08","126.93134676979858","37.56781708434707","2021-08-20 17:21:54.0"
"C1107393","서울특별시 강북구 숭인로 63-1 1층","2014.02 개업","숙대입구역9번출구국민은행2층","열린대학약국","02-986-1022","2000","2000","2000","2000","2000","1600","2100","1900","0900","0900","0900","0900","0900","0900","0900","0800","012","11","127.0288314175441","37.61253355959066","2021-08-20 17:21:54.0"
"C1107098","서울특별시 동작구 보라매로5길 23 지하1층 B117호 (신대방동 삼성보라매옴니타워)","2014.02 개업","숙대입구역9번출구국민은행2층","열린약국","02-849-8250","0900","0900","0900","0900","0900","1300","2100","1900","0830","0830","0830","0830","0830","0900","0900","0800","070","71","126.923608741","37.4925787267","2021-08-20 17:21:54.0"
"C1107510","서울특별시 강동구 상암로 104 A동 101호 (천호동)","2014.02 개업","숙대입구역9번출구국민은행2층","열린약국","02-477-5756","1400","1400","1400","1400","1400","1300","2100","1900","0900","0900","0900","0900","0900","0900","0900","0800","053","20","127.1341181637233","37.547149668742215","2021-08-20 17:21:54.0"
"C1103828","서울특별시 중구 청계천로 400 지하2층 (황학동 롯데캐슬베네치아아파트)","2014.02 개업","이마트 내 위치","열린약국","02-2256-6990","2200","2200","2200","2200","2200","2200","2200","1900","1000","1000","1000","1000","1000","1000","1000","0800","045","72","127.02178488409479","37.57149127967133","2021-08-20 17:21:54.0"
"C1100976","서울특별시 은평구 은평로 197-2","2014.02 개업","이마트 내 위치","열린약국","02-355-3464","1800","1800","1800","1800","1800","2200","2200","1900","0900","0900","0900","0900","0900","1000","1000","0800","033","84","126.92959422129987","37.60202106257338","2021-08-20 17:21:54.0"
"C1104640","서울특별시 관악구 양녕로 50 3층 (봉천동)","2014.02 개업","이마트 내 위치","열린약국","02-872-0910","2100","2100","2100","2100","2100","1500","1400","1900","0800","0800","0800","0800","0800","0800","0800","0800","087","47","126.9472192974","37.4864575744","2021-08-20 17:21:54.0"
"C1100970","서울특별시 구로구 고척로 142-1 (고척동)","2014.02 개업","이마트 내 위치","열린약국","02-2625-6040","2100","2100","2100","2100","2100","1700","1900","1900","0900","0900","0900","0900","0900","0900","1200","0800","082","35","126.84983887017631","37.5026461104089","2021-08-20 17:21:54.0"
"C1101104","서울특별시 성북구 종암로19길 17 양지빌딩 104호 (종암동)","2014.02 개업","고려대전철력에서종암동로타리쪽으로가다가왼쪽편골목에있음","열린약국","02-921-5233","1930","1930","1930","1930","1930","1500","1900","1900","0900","0900","0900","0900","0900","0900","1200","0800","028","10","127.03377664574029","37.59813442526729","2021-08-20 17:21:54.0"
"C1100978","서울특별시 양천구 지양로 73 1층 (신월동)","2014.02 개업","신월시영아파트후문입구 1층","열린약국","02-2690-2110","2000","2000","2000","2000","2000","1700","1900","1900","0900","0900","0900","0900","0900","0900","1200","0800","080","38","126.8335737839513","37.522003086920854","2021-08-20 17:21:54.0"
"C1100974","서울특별시 강남구 일원로 95","2014.02 개업","신월시영아파트후문입구 1층","열린약국","02-3411-1007","1800","1800","1800","1800","1800","1700","1900","1900","0930","0930","0930","0930","0930","0900","1200","0800","063","51","127.08333269788855","37.48590920416347","2021-08-20 17:21:54.0"
"C1104607","서울특별시 마포구 신촌로 16 1층 (동교동)","2014.02 개업","동교동로타리에서 신촌방향 30m","열린약국","02-3141-4557","2000","2000","2000","2000","2000","1600","1900","1900","0930","0930","0930","0930","0930","0930","1200","0800","040","56","126.92808828218364","37.558019565285015","2021-08-20 17:21:54.0"
"C1100972","서울특별시 송파구 가락로 166 1층 (송파동)","2014.02 개업","송파동한양공원앞잠실여고후문동우빌딩","열린약국","02-424-7048","1900","2100","2100","2100","2100","2200","2200","1900","0900","0900","0900","0900","0900","0900","2000","0800","056","75","127.11381429616102","37.503573303714326","2021-08-20 17:21:54.0"
"C1103253","서울특별시 종로구 종로 204 12층 (종로4가)","2014.02 개업","종로5가역8번출구전방50M광장시장입구","열린약국","02-2264-8210","2000","2000","2000","2000","2000","2000","1800","1800","0700","0700","0700","0700","0700","0700","0700","0700","031","95","127.00033053364537","37.57071302731929","2021-08-20 17:21:54.0"
"C1100973","서울특별시 서초구 동작대로 130 (방배동)","2014.02 개업","이수역1번출구앞","열린약국","02-532-9189","2200","2200","2200","2200","2200","2200","2200","2200","0900","0900","0900","0900","0900","0900","1000","0900","065","67","126.98264127778978","37.48800700318695","2021-08-20 17:21:54.0"
"C1109035","서울특별시 강서구 양천로 713  (염창동)","2014.02 개업","이수역1번출구앞","열린온누리약국","02-3662-0069","1800","1800","1800","1800","1800","1800","2200","2200","0900","0900","0900","0900","0900","0900","1000","0900","075","40","126.875250908344","37.5498405882542","2021-08-20 17:21:54.0"
"C1104140","서울특별시 종로구 숭인동길 21  (숭인동 종로청계힐스테이트)","2014.02 개업","1호선 신설동역 11번출구 청계힐스테이트 아파트 상가건물","열린온누리약국","02-2242-3552","2100","2100","2100","2100","2100","2000","2200","2200","0900","0900","0900","0900","0900","0900","1000","0900","031","12","127.02147701272156","37.575563137481375","2021-08-20 17:21:54.0"
"C1101005","서울특별시 강동구 천호대로170길 26 (성내동)","2014.02 개업","강동역3번출구현대자동차옆길50미터오세요","열린프라자약국","02-478-5214","2030","2030","2030","2030","2030","1400","2200","2200","0830","0830","0830","0830","0830","0830","1000","0900","053","81","127.13288453244702","37.534297407924015","2021-08-20 17:21:54.0"
"C1107043","서울특별시 은평구 통일로 750  (불광동)","2014.07 개업","강동역3번출구현대자동차옆길50미터오세요","열린프라자약국","02-3157-0079","1700","1700","1700","1700","1700","1400","2200","2200","0900","0900","0900","0900","0900","0830","1000","0900","033","55","126.92871909968964","37.61222685237851","2021-08-20 17:21:54.0"
"C1104315","서울특별시 노원구 덕릉로 779 (상계동)","2014.07 개업","당고개역동아불암아파트정문맞은편","열방약국","02-952-8560","1810","1810","1810","1810","1810","1310","2200","2200","0900","0900","0900","0900","0900","0900","1000","0900","016","38","127.07829575877386","37.6668666051286","2021-08-20 17:21:54.0"
"C1108184","서울특별시 동대문구 고산자로 472 (제기동)","2014.07 개업","당고개역동아불암아파트정문맞은편","염광당약국","02-962-3469","1700","1700","1700","1700","1700","1310","2200","2200","0900","0900","0900","0900","0900","0900","1000","0900","025","71","127.0387551211","37.5817348382","2021-08-20 17:21:54.0"
"C1109036","서울특별시 강서구 양천로 731  (염창동 염창동동아3차아파트)","2014.07 개업","당고개역동아불암아파트정문맞은편","염창메디칼약국","02-3662-0069","2100","2100","2100","2100","2100","2000","2200","2200","0900","0900","0900","0900","0900","0900","1000","0900","075","39","126.877396858267","37.5502517087995","2021-08-20 17:21:54.0"
"C1102484","서울특별시 금천구 시흥대로141길 65","2014.07 개업","독산동엘지텔레콤(구-반도패션)옆","영광약국","02-855-8851","2000","2000","2000","2000","2000","2000","2000","2200","0900","0900","0900","0900","0900","0900","0900","0900","085","31","126.89757677805389","37.475865470126955","2021-08-20 17:21:54.0"
"C1107493","서울특별시 강남구 강남대로 526 1층 (논현동)","2014.07 개업","독산동엘지텔레콤(구-반도패션)옆","영동약국","02-540-5485","1920","1920","1920","1920","1920","1720","2000","2200","1000","1000","1000","1000","1000","1000","0900","0900","061","14","127.0226975963","37.5091545258","2021-08-20 17:21:54.0"
"C1107266","서울특별시 서초구 강남대로 521-4 태영빌딩 1층","2014.07 개업","독산동엘지텔레콤(구-반도패션)옆","영동프라자약국","02-547-0594","2050","2050","2050","2050","2050","1800","2000","2200","0900","0900","0900","0900","0900","0900","0900","0900","065","36","127.0221228395","37.5085059115","2021-08-20 17:21:54.0"
"C1103437","서울특별시 영등포구 당산로36길 12","2014.07 개업","삼성ABC프라자 102-103","영등포21세기온누리약국","02-2636-7588","2200","2200","2200","2200","2200","2200","2000","2200","0900","0900","0900","0900","0900","0900","0900","0900","072","20","126.8975679747554","37.52790351265168","2021-08-20 17:21:54.0"
"C1102954","서울특별시 영등포구 영중로 62  (영등포동5가)","2014.07 개업","삼성ABC프라자 102-103","영등포시장약국","02-2634-9321","1900","1900","1900","1900","1900","1600","2000","2200","0900","0900","0900","0900","0900","0900","0900","0900","072","50","126.90529840458106","37.52176883272158","2021-08-20 17:21:54.0"
"C1101186","서울특별시 영등포구 영중로 51-1 1층 (영등포동6가)","2014.07 개업","5호선영등포시장역4번출구150M닥터스빌딩","영등포제일약국","02-2068-7277","1930","1930","1930","1930","1930","1530","2000","2200","0830","0830","0830","0830","0830","0830","0900","0900","072","51","126.90461168758154","37.52094655964717","2021-08-20 17:21:54.0"
"C1104047","서울특별시 영등포구 영중로 63 1층 (영등포동6가)","2014.07 개업","영등포시장역 4번 출구","영등포진약국","02-3141-0683","1900","1900","1900","1900","1900","1400","2000","2200","0900","0900","0900","0900","0900","0900","0900","0900","072","51","126.9047460286","37.5220350853","2021-08-20 17:21:54.0"
"C1101187","서울특별시 도봉구 시루봉로 290","2014.07 개업","도봉동사거리에서방학중학교쪽으로우회전오봉초등학교건너편","영락온누리약국","02-3493-6350","2100","2100","2100","2100","2100","2100","2000","2200","0900","0900","0900","0900","0900","0900","0900","0900","013","49","127.04108904210894","37.671044039730845","2021-08-20 17:21:54.0"
"C1102485","서울특별시 송파구 올림픽로 203  (잠실동)","2014.07 개업","중앙상가 150호","영림약국","02-412-0640","2000","2000","2000","2000","2000","1900","2000","2200","0900","0900","0900","0900","0900","0900","0900","0900","055","03","127.09325618765578","37.51235884265288","2021-08-20 17:21:54.0"
"C1108793","서울특별시 동대문구 망우로21길 16 1층 (휘경동)","2014.07 개업","중앙상가 150호","영림약국","02-2245-9388","2000","2000","2000","2000","2000","1800","2000","2200","0830","0830","0830","0830","0830","0830","0900","0900","024","36","127.062301597507","37.590513583708","2021-08-20 17:21:54.0"
"C1103045","서울특별시 양천구 목동동로 430 (목동)","2014.07 개업","목동6단지아파트상가115호","영민약국","02-2648-3402","1900","1900","1900","1900","1900","1400","2000","2200","0800","0800","0800","0800","0800","0830","0900","0900","079","86","126.88490167441202","37.53673944083285","2021-08-20 17:21:54.0"
"C1101189","서울특별시 성동구 성수일로10길 32","2014.07 개업","창미빌딩 1층","영민약국","02-466-1377","1630","1630","1630","1630","1630","1300","2000","2200","0830","0830","0830","0830","0830","0830","0900","0900","047","93","127.05339798241017","37.546213606022256","2021-08-20 17:21:54.0"
"C1103724","서울특별시 강서구 양천로57길 16 (가양동)","2014.07 개업","창미빌딩 1층","영보약국","02-3664-0552","1840","1840","1840","1840","1840","1600","2000","2200","0900","0900","0900","0900","0900","0900","0900","0900","075","26","126.8525059449","37.5633768908","2021-08-20 17:21:54.0"
"C1101191","서울특별시 송파구 백제고분로 202 (삼전동)","2014.07 개업","삼전사거리버스정류장앞","영보약국","02-414-2411","1900","1900","1900","1900","1900","1500","2000","2200","0900","0900","0900","0900","0900","0900","0900","0900","055","81","127.08901511437718","37.50381083530113","2021-08-20 17:21:54.0"
"C1101247","서울특별시 성북구 종암로5길 36  상가동 1호 (종암동 종암선경아파트)","2014.07 개업","숭례초등학교뒤선경아파트상가","영생약국","02-928-5777","2000","2000","2000","2000","2000","2000","2000","2200","0900","0900","0900","0900","0900","1000","0900","0900","028","11","127.03386086","37.5941051705","2021-08-20 17:21:54.0"
"C1100968","서울특별시 노원구 한글비석로24길 57 (상계동)","2014.07 개업","숭례초등학교뒤선경아파트상가","영신약국","02-936-5316","1900","1900","1900","1900","1900","1400","2000","2200","0900","0900","0900","0900","0900","0900","0900","0900","016","64","127.07329700580061","37.663045154064484","2021-08-20 17:21:54.0"
"C1102483","서울특별시 서대문구 거북골로14길 32","2014.07 개업","현대아이파크","영신약국","02-372-2126","1900","1900","1900","1900","1900","1300","2200","2200","0900","0900","0900","0900","0900","0900","1500","0900","036","90","126.91416075100187","37.57551448359602","2021-08-20 17:21:54.0"
"C1100158","서울특별시 관악구 원신2길 34","2014.07 개업","신림6동시장내","영암약국","02-878-0659","2100","2100","2100","2100","2100","1800","2200","2200","0900","0900","0900","0900","0900","0900","1500","0900","088","46","126.93250543109538","37.47093191181273","2021-08-20 17:21:54.0"
"C1108533","서울특별시 송파구 송파대로 345 1A동 5층 5001호 (가락동 헬리오시티)","2014.07 개업","신림6동시장내","영약국","02-400-3506","1900","1900","1900","1900","1900","1700","2200","2200","0830","0830","0830","0830","0830","0830","1500","0900","056","98","127.11161879441715","37.49956773298515","2021-08-20 17:21:54.0"
"C1100875","서울특별시 은평구 은평로10길 5 (응암동)","2014.07 개업","신림6동시장내","영약국","02-387-7498","2030","2030","2030","2030","2030","1700","2200","2200","0830","0830","0830","0830","0830","0830","1500","0900","034","62","126.92314121936726","37.600004511715944","2021-08-20 17:21:54.0"
"C1103044","서울특별시 강북구 한천로170길 5 (수유동)","2014.07 개업","광산뷔페사거리에서4.19탑사거리못가서위치","영약국","02-993-1878","1830","1830","1830","1830","1830","1600","2200","2200","0930","0930","0930","0930","0930","0930","1500","0900","010","44","127.01618881261237","37.64801725593999","2021-08-20 17:21:54.0"
"C1103822","서울특별시 서초구 강남대로 415 대동빌딩 4층 (서초동)","2014.07 개업","대동빌딩 8층","영약국","02-533-3321","2100","2100","2100","2100","2100","1700","2200","2200","0930","0930","0930","0930","0930","0930","1500","0900","066","14","127.02634067976513","37.49955986376665","2021-08-20 17:21:54.0"
"C1102478","서울특별시 강남구 강남대로 532 202호(논현동 은훈빌딩)","2014.07 개업","논현역 2번 출구","영양과건강약국","02-3445-6625","1800","1800","1800","1800","1800","1700","2200","2200","0900","0900","0900","0900","0900","0930","1500","0900","061","14","127.0224579434","37.5095762418","2021-08-20 17:21:54.0"
"C1107627","서울특별시 강남구 봉은사로 108 1층","2014.07 개업","논현역 2번 출구","영원약국","02-3288-9988","1800","1800","1800","1800","1800","1700","2200","2200","0900","0900","0900","0900","0900","0930","1500","0900","061","23","127.0255914666","37.5045335804","2021-08-20 17:21:54.0"
"C1100876","서울특별시 영등포구 도림로 188 1층 (대림동)","2014.07 개업","대림우성아파트정문앞(구.영창악기)","영인약국","02-844-8818","2000","2000","2000","2000","2000","1800","2200","2200","0900","0900","0900","0900","0900","0900","1500","0900","074","22","126.902250524939","37.49604086423939","2021-08-20 17:21:54.0"
"C1100877","서울특별시 강동구 풍성로37길 39-21 1층 (성내동)","2014.07 개업","강동공안과병원정문앞","영일약국","02-473-2872","1930","1930","1930","1930","1930","1500","2200","2200","0900","0900","0900","0900","0900","0900","1500","0900","053","87","127.12594775716","37.533576325626825","2021-08-20 17:21:54.0"
"C1102479","서울특별시 강서구 양천로 658","2014.07 개업","염창동양화진빌딩건물1층","영일약국","02-3661-2954","1900","1900","1900","1900","1900","1700","2200","2200","0900","0900","0900","0900","0900","0900","1500","0900","075","54","126.8699166258753","37.55232886406119","2021-08-20 17:21:54.0"
"C1100879","서울특별시 중랑구 면목로 457 (상봉동)","2014.07 개업","상봉역과면목역사이5거리","영일온누리약국","02-491-9089","2000","2000","2000","2000","2000","1700","2200","2200","0900","0900","0900","0900","0900","0900","1500","0900","021","38","127.0861408105369","37.59281720284123","2021-08-20 17:21:54.0"
"C1104882","서울특별시 강동구 구천면로 233 110호 (천호동)","2014.07 개업","상봉역과면목역사이5거리","영임약국","02-475-1016","2000","1900","2000","1900","2000","2100","1700","2200","0800","0800","0800","0800","0800","0800","0900","0900","053","26","127.13013439376134","37.54164722211051","2021-08-20 17:21:54.0"
"C1100880","서울특별시 성북구 오패산로3길 146  (하월곡동)","2014.07 개업","상봉역과면목역사이5거리","영준약국","02-912-4813","1900","1900","1900","1900","1900","1400","1700","2200","0830","0830","0830","0830","0830","0830","0900","0900","027","37","127.03299269674378","37.60946287858701","2021-08-20 17:21:54.0"
"C1101087","서울특별시 강남구 도산대로92길 6 (청담동)","2014.07 개업","청담대우유로카운티아파트 앞","영지약국","02-547-3443","2000","2000","2000","2000","2000","2000","1700","2200","1000","1000","1000","1000","1000","1000","0900","0900","060","70","127.05029126815215","37.524070222586765","2021-08-20 17:21:54.0"
"C1102953","서울특별시 중구 충무로 30-2 (초동)","2014.07 개업","청담대우유로카운티아파트 앞","영진약국","02-2266-3453","2000","2500","2500","2000","2500","1600","1700","2200","1000","1000","1000","1000","1000","1000","0900","0900","045","56","126.993025000000003","37.563877777777776","2021-08-20 17:21:54.0"
"C1104264","서울특별시 마포구 망원로8길 67","2014.07 개업","청담대우유로카운티아파트 앞","영진약국","02-323-1114","1830","1830","1830","1830","1830","1330","1700","2200","0900","0900","0900","0900","0900","0830","0900","0900","040","14","126.9060414462023","37.55454399533399","2021-08-20 17:21:54.0"
"C1104452","서울특별시 강남구 학동로 421 1층 일부(청담동 원영빌딩)","2014.07 개업","강남구청맞은편.현대힐스테이트공사장맞은편건널목","영진약국","02-545-3121","2030","2030","2030","2030","2030","2000","1700","2200","0900","0900","0900","0900","0900","0900","0900","0900","060","69","127.0462740509","37.5183883392","2021-08-20 17:21:54.0"
"C1101147","서울특별시 은평구 통일로 843","2014.07 개업","연신내지하철4번출구앞","영창당약국","02-355-2039","2100","2100","2100","2100","2100","2000","1700","2200","0900","0900","0900","0900","0900","0900","0900","0900","033","85","126.92142763802931","37.61845691708495","2021-08-20 17:21:54.0"
"C1102147","서울특별시 성동구 사근동길 53 (사근동)","2014.07 개업","연신내지하철4번출구앞","영화당약국","02-2293-0180","2200","2200","2200","2200","2200","2200","2200","2200","1030","1030","1030","1030","1030","1030","1900","0900","047","61","127.0468119701","37.5609946141","2021-08-20 17:21:54.0"
"C1102482","서울특별시 종로구 종로41길 47 (종로6가)","2014.07 개업","동대문역10번출구에서100미터","영화약국","02-764-4868","1930","1930","1930","1930","1930","1500","2200","2200","0830","0830","0830","0830","0830","0830","1900","0900","031","25","127.00589563691844","37.57331227468128","2021-08-20 17:21:54.0"
"C1101150","서울특별시 도봉구 덕릉로 222 (창동)","2014.07 개업","신창동 양조장 건너편","영훈약국","02-900-3943","2100","2100","2100","2100","2100","1600","2200","2200","0900","0900","0900","0900","0900","0900","1900","0900","014","73","127.03762405346673","37.63780556913034","2021-08-20 17:21:54.0"
"C1104510","서울특별시 강서구 양천로 452 1층105-1호(등촌동예다인상가)","2014.07 개업","예다인상가 1층 105-1호","예다인온누리약국","02-2658-7115","2030","2030","2030","2030","2030","1630","2200","2200","1000","1000","1000","1000","1000","1000","1900","0900","075","74","126.8519643249871","37.56254368829146","2021-08-20 17:21:54.0"
"C1103833","서울특별시 금천구 시흥대로 403","2014.07 개업","1층","예닮약국","02-866-6883","2000","2030","1930","2030","1930","1730","1300","2200","0800","0800","0800","0800","0800","0800","0900","0900","085","23","126.89746759669399","37.46981063636464","2021-08-20 17:21:54.0"
"C1108146","서울특별시 동작구 서달로 166 2층 (흑석동)","2014.07 개업","1층","예쁜약국","02-812-1029","1830","1830","1830","1830","1830","1500","1300","2200","0900","0900","0900","0900","0900","0900","0900","0900","069","79","126.9628801435653","37.507763326756375","2021-08-20 17:21:54.0"
"C1107315","서울특별시 용산구 이촌로 352 103호 (용산동6가 신동아쇼핑)","2014.07 개업","1층","예사랑약국","02-3477-7500","1930","1930","1800","1930","1930","1500","1800","2200","0800","0800","0800","0800","0800","0800","1200","0900","044","28","126.98517729907783","37.5173837458647","2021-08-20 17:21:54.0"
"C1100931","서울특별시 송파구 백제고분로 446 송암빌딩 2층 201호 (방이동)","2014.07 개업","1층","예사랑약국","02-413-4881","1900","1900","1900","1900","1900","1400","1800","2200","0830","0830","0830","0830","0830","0830","1200","0900","056","41","127.112743436","37.5104544083","2021-08-20 17:21:54.0"
"C1106948","서울특별시 은평구 갈현로11길 43","2014.07 개업","1층","예사랑온누리약국","02-358-6226","1700","1700","1700","1700","1700","1400","1800","2200","0900","0900","0900","0900","0900","0830","1200","0900","034","33","126.90580940182454","37.604729361517684","2021-08-20 17:21:54.0"
"C1103538","서울특별시 강서구 강서로 143","2014.07 개업","화곡역에서까치터널방변5분삼화빌딩1층","예성약국","02-2699-9513","1730","1730","1730","1730","1730","1300","1800","2200","0830","0830","0830","0830","0830","0700","1200","0900","077","20","126.84161576962458","37.53956473294271","2021-08-20 17:21:54.0"
"C1100933","서울특별시 중구 청파로 464 103동 207호(중림동브라운스톤서울)","2014.07 개업","브라운서톤서울103동206호","예솔약국","02-365-3652","1900","1900","1900","1900","1900","1400","1800","2200","0900","0900","0900","0900","0900","0900","1200","0900","045","10","126.96846329786632","37.56042664396926","2021-08-20 17:21:54.0"
"C1100935","서울특별시 강서구 공항대로41길 75 108호 (등촌동 경원프라자)","2014.07 개업","등현초등학교사거리","예약국","02-2668-2925","2000","2000","2000","2000","2000","1400","1800","2200","0900","0900","0900","0900","0900","0900","1200","0900","075","86","126.8463622971","37.5611490022","2021-08-20 17:21:54.0"
"C1108133","서울특별시 관악구 쑥고개로 110 1층 (봉천동)","2014.07 개업","등현초등학교사거리","예원약국","02-879-8989","2100","2100","2100","2100","2100","2100","2000","2200","0900","0900","0900","0900","0900","0900","1400","0900","088","32","126.9485812918","37.4789221384","2021-08-20 17:21:54.0"
"C1104307","서울특별시 종로구 진흥로 456 1층 (구기동)","2014.07 개업","등현초등학교사거리","예은약국","02-379-9920","2030","2030","2030","2030","2030","1500","2000","2200","0900","0900","0900","0900","0900","0900","1400","0900","030","12","126.95844133077047","37.606871551183","2021-08-20 17:21:54.0"
"C1102406","서울특별시 중랑구 면목로 415 (면목동)","2014.07 개업","등현초등학교사거리","예인약국","02-432-1550","1830","1830","1830","1830","1830","1600","2000","2200","0900","0900","0900","0900","0900","0900","1400","0900","021","46","127.08704224590107","37.589035979142544","2021-08-20 17:21:54.0"
"C1100936","서울특별시 양천구 지양로 82 1층5호 (신월동)","2014.07 개업","인현빌딩 1층 5호","예인약국","02-2692-4373","1930","1930","1930","1930","1930","1930","2000","2200","0900","0900","0900","0900","0900","0900","1400","0900","080","34","126.83315370644075","37.522687255571455","2021-08-20 17:21:54.0"
"C1102842","서울특별시 강동구 양재대로 1603 (천호동)","2014.07 개업","인현빌딩 1층 5호","예일약국","02-477-9458","1700","1700","1700","1700","1700","1800","2000","2200","0900","0900","0900","0900","0900","0900","1400","0900","053","06","127.14336427234227","37.548789433342144","2021-08-20 17:21:54.0"
"C1100937","서울특별시 광진구 구의로 23 (구의동)","2014.07 개업","중앙농협구의역지점맞은편","예일약국","02-453-4341","2100","2100","2100","2100","2100","2000","2000","2200","0900","0900","0900","0900","0900","0900","1400","0900","050","41","127.089325000000002","37.540102777777776","2021-08-20 17:21:54.0"
